,TRADE_DT,S_INFO_WINDCODE,S_DQ_CLOSE
734,20130111,000300.SH,2483.23
735,20130114,000300.SH,2577.725
736,20130115,000300.SH,2595.856
737,20130116,000300.SH,2577.092
738,20130117,000300.SH,2552.758
739,20130118,000300.SH,2595.439
740,20130121,000300.SH,2610.898
741,20130122,000300.SH,2596.898
742,20130123,000300.SH,2607.456
743,20130124,000300.SH,2582.755
744,20130125,000300.SH,2571.674
745,20130128,000300.SH,2651.863
746,20130129,000300.SH,2675.866
747,20130130,000300.SH,2688.711
748,20130131,000300.SH,2686.882
749,20130201,000300.SH,2743.324
750,20130204,000300.SH,2748.028
751,20130205,000300.SH,2771.675
752,20130206,000300.SH,2775.844
753,20130207,000300.SH,2759.87
754,20130208,000300.SH,2771.725
755,20130218,000300.SH,2737.471
756,20130219,000300.SH,2685.606
757,20130220,000300.SH,2702.635
758,20130221,000300.SH,2610.549
759,20130222,000300.SH,2596.604
760,20130225,000300.SH,2604.96
761,20130226,000300.SH,2567.595
762,20130227,000300.SH,2594.677
763,20130228,000300.SH,2673.327
764,20130301,000300.SH,2668.836
765,20130304,000300.SH,2545.715
766,20130305,000300.SH,2622.807
767,20130306,000300.SH,2650.202
768,20130307,000300.SH,2619.479
769,20130308,000300.SH,2606.927
770,20130311,000300.SH,2592.372
771,20130312,000300.SH,2555.615
772,20130313,000300.SH,2527.486
773,20130314,000300.SH,2534.273
774,20130315,000300.SH,2539.873
775,20130318,000300.SH,2502.493
776,20130319,000300.SH,2525.097
777,20130320,000300.SH,2610.174
778,20130321,000300.SH,2614.988
779,20130322,000300.SH,2618.308
780,20130325,000300.SH,2613.097
781,20130326,000300.SH,2575.05
782,20130327,000300.SH,2583.53
783,20130328,000300.SH,2499.302
784,20130329,000300.SH,2495.083
785,20130401,000300.SH,2493.187
786,20130402,000300.SH,2486.391
787,20130403,000300.SH,2483.547
788,20130408,000300.SH,2472.299
789,20130409,000300.SH,2489.43
790,20130410,000300.SH,2485.309
791,20130411,000300.SH,2477.876
792,20130412,000300.SH,2462.112
793,20130415,000300.SH,2436.818
